[2020-01-27 12:59:25]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 12:59:25]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 13:00:48]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 13:00:49]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 13:08:54]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 13:09:53]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 13:09:53]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 14:00:18]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 14:00:18]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 14:04:24]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 14:04:24]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 14:05:14]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 14:05:14]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
[2020-01-27 14:11:18]INFO[Class: util.file.GestorFicheros] El fichero test\testFileNotExists.txt no existe, se creará uno nuevo
[2020-01-27 14:11:18]INFO[Class: util.file.GestorFicheros] El fichero  no existe, se creará uno nuevo
